Age Range,RemoteWork,EdLevel,YearsCode,DevType,OrgSize,Country,ICorPM,WorkExp,Industry,TotalComp
50,Hybrid,Some college,45,"Developer, back-end",50,United States of America,Individual contributor,50,Software Development,140000
30,In-person,Bachelors,5,"Developer, full-stack",250,United States of America,Individual contributor,1,Computer Systems Design and Services,90000
30,Remote,Bachelors,12,"Developer, full-stack",500 to 999,United States of America,,0,Other,166000
20,In-person,Bachelors,10,Other,250,United States of America,Individual contributor,1,Other,60000
30,Remote,Bachelors,12,"Developer, full-stack",15,Ukraine,Individual contributor,7,Software Development,60000
30,Remote,Bachelors,2,"Developer, full-stack",5,Turkey,Individual contributor,2,Other,12000
30,Hybrid,Bachelors,13,Data engineer,10000,United States of America,Individual contributor,10,Software Development,300000
50,Remote,Bachelors,27,"Developer, full-stack",1,Pakistan,,0,Other,35000
40,Remote,Masters,11,"Developer, back-end",250,South Korea,People manager,12,Other,87000
20,Remote,Bachelors,8,"Developer, front-end",50,Pakistan,Individual contributor,4,Software Development,30000
60,Hybrid,Bachelors,26,"Developer, desktop or enterprise applications",50,United States of America,,0,Other,140000
30,Remote,Masters,3,Research & Development role,50,Ukraine,Individual contributor,4,Internet Telecomm or Information Services,72000
30,Remote,Bachelors,12,"Developer, back-end",2500,El Salvador,Individual contributor,7,Banking or Financial Services,19200
30,Hybrid,Bachelors,16,"Developer, desktop or enterprise applications",10000,United States of America,,0,Other,170000
40,Remote,Some college,22,"Developer, full-stack",5,Romania,Individual contributor,15,Software Development,60000
40,Remote,Masters,6,"Developer, full-stack",50,Poland,,0,Other,40000
30,Hybrid,Secondary school,13,"Developer, full-stack",50,United States of America,Individual contributor,13,Government,80000
30,Hybrid,Some college,13,"Developer, full-stack",10000,United States of America,Individual contributor,9,Transportation or Supply Chain,190000
50,Remote,Masters,37,Other,1,Czech Republic,,0,Other,60000
30,Remote,Bachelors,13,"Developer, full-stack",250,Russian Federation,,0,Other,115800
40,Remote,Professional degree,22,"Developer, back-end",2500,Ukraine,Individual contributor,18,Software Development,80000
30,Remote,Masters,10,Engineering manager,7500,Ukraine,People manager,8,Computer Systems Design and Services,131400
30,Hybrid,Bachelors,16,"Developer, full-stack",10000,United States of America,Individual contributor,10,Internet Telecomm or Information Services,250000
50,Remote,Professional degree,34,"Senior Executive (C-Suite, VP, etc.)",50,Ukraine,,0,Other,130000
30,Remote,Masters,19,"Developer, full-stack",1,Georgia,,0,Other,70000
30,Remote,Bachelors,6,"Developer, full-stack",50,Nigeria,Individual contributor,6,Banking or Financial Services,18000
30,Remote,Masters,9,"Developer, back-end",250,Ukraine,Individual contributor,7,Healthcare,54000
60,In-person,Bachelors,42,"Developer, full-stack",250,United States of America,,0,Other,400000
30,Hybrid,Bachelors,12,"Developer, back-end",10000,United States of America,,0,Other,300000
30,Hybrid,Bachelors,13,"Developer, full-stack",2500,United States of America,Individual contributor,6,Healthcare,200000
40,Hybrid,Professional degree,13,Data scientist or machine learning specialist,250,Viet Nam,People manager,10,Retail and Consumer Services,83000
20,In-person,Some college,4,"Developer, back-end",250,Ukraine,Individual contributor,3,Retail and Consumer Services,14400
20,Remote,Masters,6,"Developer, back-end",2500,Ukraine,,0,Other,47000
20,Remote,Secondary school,5,"Developer, full-stack",250,United States of America,Individual contributor,31,Energy,8888
40,Remote,Masters,17,"Developer, back-end",250,Lebanon,Individual contributor,16,Retail and Consumer Services,45000
30,In-person,Masters,12,"Developer, back-end",50,United States of America,,0,Other,150000
40,Remote,Some college,13,Other,15,Ukraine,People manager,18,Other,56000
40,Hybrid,Masters,8,"Developer, QA or test",250,Ukraine,Individual contributor,15,Software Development,55000
30,Remote,Masters,12,"Developer, back-end",5,Ukraine,,0,Other,55000
40,Remote,Masters,20,DevOps specialist,50,Ukraine,Individual contributor,20,Software Development,90000
40,Remote,Masters,5,"Developer, back-end",250,Ukraine,Individual contributor,5,Fintech,48000
30,Hybrid,Masters,13,"Senior Executive (C-Suite, VP, etc.)",50,"Iran, Islamic Republic of...",People manager,13,Computer Systems Design and Services,24000
30,Hybrid,Bachelors,15,"Developer, full-stack",5,Democratic Republic of the Congo,Individual contributor,5,Retail and Consumer Services,12000
20,Remote,Primary school,5,"Developer, back-end",250,Ukraine,Individual contributor,4,Other,57600
30,Remote,Some college,5,Other,50,United States of America,Individual contributor,1,Software Development,60000
30,Hybrid,Masters,8,"Developer, back-end",7500,Ukraine,People manager,10,Fintech,80000
30,Hybrid,Bachelors,15,"Developer, back-end",50,Ukraine,Individual contributor,10,Healthcare,90000
30,Remote,Bachelors,7,"Developer, full-stack",25,United States of America,Individual contributor,4,Transportation or Supply Chain,90000
70,Remote,Some college,33,Developer Advocate,500 to 999,United States of America,Individual contributor,33,Government,101000
40,Remote,Masters,9,DevOps specialist,2500,Ukraine,Individual contributor,4,Other,42000
30,Remote,Masters,8,"Developer, back-end",50,Ukraine,Individual contributor,8,Media & Advertising Services,6000
40,Remote,Masters,10,"Developer, back-end",2500,Ukraine,Individual contributor,16,Software Development,32000
40,Remote,Bachelors,15,"Developer, full-stack",5,Malta,Individual contributor,8,Other,120000
40,Remote,Bachelors,15,"Developer, full-stack",5,United States of America,,0,Other,300000
30,Remote,Some college,12,"Developer, full-stack",5,Indonesia,People manager,9,Software Development,50000
30,Remote,Masters,17,"Developer, desktop or enterprise applications",50,Ukraine,Individual contributor,10,Transportation or Supply Chain,53400
20,Remote,Bachelors,1,"Developer, back-end",15,Ukraine,,0,Other,8000
30,Remote,Bachelors,11,"Developer, front-end",2500,United States of America,Individual contributor,6,Retail and Consumer Services,160000
50,Remote,Bachelors,5,"Developer, full-stack",1,United States of America,,0,Other,89000
30,Remote,Bachelors,10,"Developer, mobile",10000,Nigeria,Individual contributor,9,Banking or Financial Services,60000
40,Remote,Masters,24,Engineering manager,250,Ukraine,Individual contributor,19,Software Development,73700
50,Remote,Masters,20,Engineering manager,250,Ukraine,People manager,15,Other,105000
40,Remote,Masters,10,Product manager,250,Sweden,,0,Other,80000
30,Remote,Bachelors,8,"Developer, front-end",50,Ukraine,Individual contributor,4,Software Development,33000
20,Hybrid,Bachelors,5,"Developer, full-stack",500 to 999,United States of America,,0,Other,96000
20,Remote,Bachelors,4,"Developer, full-stack",10000,Ukraine,,0,Other,20000
30,Remote,Masters,11,"Developer, back-end",50,Ukraine,Individual contributor,9,Software Development,32400
40,Remote,Bachelors,20,"Developer, full-stack",50,Turkey,People manager,15,Software Development,100000
40,Remote,Masters,16,"Developer, full-stack",15,Switzerland,Individual contributor,16,Other,130000
40,Remote,Masters,16,"Developer, full-stack",2500,Ukraine,People manager,16,Fintech,105600
50,Remote,Masters,30,"Developer, full-stack",25,United States of America,Individual contributor,25,Higher Education,85000
30,Remote,Bachelors,7,"Developer, front-end",1,Viet Nam,Individual contributor,3,Software Development,36000
70,Hybrid,Bachelors,50,System administrator,5,Philippines,,0,Other,67000
30,Remote,Some college,4,"Developer, front-end",250,Egypt,Individual contributor,4,Software Development,30000
30,Hybrid,Masters,4,"Developer, mobile",50,Ukraine,Individual contributor,3,Software Development,24000
20,Remote,Masters,10,"Developer, full-stack",2500,Ukraine,Individual contributor,3,Fintech,30000
40,Remote,Masters,21,"Developer, full-stack",10000,Turkey,Individual contributor,17,Other,100000
40,Remote,Bachelors,25,"Developer, full-stack",250,Austria,Individual contributor,22,Software Development,190000
40,In-person,Bachelors,23,"Senior Executive (C-Suite, VP, etc.)",50,United States of America,Individual contributor,20,Transportation or Supply Chain,200000
20,Remote,Bachelors,3,"Developer, full-stack",5,Pakistan,Individual contributor,3,Other,4800
40,Hybrid,Masters,18,"Developer, full-stack",2500,United States of America,People manager,12,Software Development,130000
50,In-person,Some college,31,"Developer, desktop or enterprise applications",15,United States of America,Individual contributor,29,Retail and Consumer Services,90000
20,Hybrid,Masters,10,"Developer, full-stack",15,Ukraine,Individual contributor,8,Software Development,60000
50,Hybrid,Bachelors,27,Engineering manager,500 to 999,Argentina,People manager,24,Internet Telecomm or Information Services,72000
40,Remote,Some college,12,"Developer, full-stack",10000,United States of America,Individual contributor,20,Software Development,240000
40,Remote,Bachelors,20,"Developer, full-stack",250,United States of America,,0,Other,200000
40,Hybrid,Masters,25,"Developer, back-end",2500,Ukraine,Individual contributor,20,Software Development,52000
60,Remote,Masters,2,Other,1,United States of America,,0,Other,10000
30,Hybrid,Masters,13,"Developer, full-stack",15,United States of America,,0,Other,180000
16,Hybrid,Secondary school,10,Research & Development role,5,Slovakia,Individual contributor,5,Other,32000
30,Remote,Bachelors,14,Designer,5,United States of America,Individual contributor,7,Computer Systems Design and Services,70000
60,Hybrid,Some college,7,"Senior Executive (C-Suite, VP, etc.)",5,Sweden,,0,Other,180000
30,In-person,Bachelors,8,Research & Development role,7500,United States of America,,0,Other,110000
30,Remote,Bachelors,15,"Developer, full-stack",50,United States of America,,0,Other,210000
30,Remote,Masters,5,Data engineer,250,Ukraine,,0,Other,60000
30,Remote,Masters,5,"Developer, front-end",15,"Iran, Islamic Republic of...",Individual contributor,4,Software Development,17600
40,Remote,Bachelors,18,"Developer, full-stack",50,Georgia,Individual contributor,13,Software Development,60000
40,Remote,Masters,25,"Senior Executive (C-Suite, VP, etc.)",50,Spain,People manager,20,Retail and Consumer Services,180000
30,Remote,Bachelors,6,"Developer, back-end",5,"Iran, Islamic Republic of...",Individual contributor,6,Retail and Consumer Services,12000
30,Remote,Masters,9,Research & Development role,500 to 999,Ukraine,Individual contributor,6,Software Development,70000
40,Remote,Secondary school,25,Engineering manager,2500,United States of America,People manager,25,Other,126605
40,Hybrid,Bachelors,16,"Developer, full-stack",250,United States of America,People manager,12,Retail and Consumer Services,140000
30,Remote,Masters,9,"Developer, full-stack",50,Argentina,Individual contributor,5,Software Development,55000
30,Remote,Associates,14,"Developer, back-end",25,Ukraine,,0,Other,60000
40,Hybrid,Bachelors,20,"Developer, full-stack",500 to 999,United States of America,,0,Other,120000
40,Remote,Masters,22,"Developer, full-stack",5,United States of America,People manager,22,Other,230000
50,Remote,Professional degree,41,"Senior Executive (C-Suite, VP, etc.)",1,United States of America,,0,Other,250000
30,Remote,Bachelors,16,"Developer, back-end",50,Kazakhstan,Individual contributor,11,Internet Telecomm or Information Services,72000
20,Remote,Bachelors,3,DevOps specialist,2500,Ukraine,Individual contributor,4,Internet Telecomm or Information Services,20700
30,In-person,Bachelors,15,"Developer, full-stack",2500,United States of America,,0,Other,131000
30,In-person,Bachelors,14,"Developer, full-stack",250,United States of America,People manager,8,Software Development,181000
30,Remote,Bachelors,5,"Developer, back-end",2500,Kazakhstan,Individual contributor,4,Other,85000
50,In-person,Some college,30,"Developer, full-stack",2500,United States of America,,0,Other,97000
20,Remote,Bachelors,4,"Developer, front-end",250,Ukraine,Individual contributor,3,Software Development,45000
30,Remote,Bachelors,6,"Developer, full-stack",15,Germany,Individual contributor,4,Insurance,72000
30,In-person,Secondary school,12,"Developer, back-end",250,United States of America,Individual contributor,12,Retail and Consumer Services,260000
50,Hybrid,Masters,30,Engineering manager,250,United States of America,,0,Other,140000
40,Remote,Bachelors,19,"Developer, full-stack",250,United States of America,Individual contributor,26,Software Development,150000
30,In-person,Bachelors,8,"Developer, full-stack",2500,Ecuador,Individual contributor,3,Higher Education,12000
40,Remote,Bachelors,22,"Developer, full-stack",2500,United States of America,Individual contributor,15,Software Development,187000
30,Remote,Bachelors,11,"Developer, full-stack",50,Rwanda,Individual contributor,6,Other,40000
40,Remote,Bachelors,15,"Developer, full-stack",50,United States of America,Individual contributor,11,Software Development,125000
30,Remote,Bachelors,12,"Developer, back-end",10000,United States of America,,0,Other,240000
30,Remote,Bachelors,20,Engineering manager,2500,United States of America,People manager,12,Media & Advertising Services,250000
20,In-person,Some college,10,"Developer, full-stack",250,United States of America,Individual contributor,3,Retail and Consumer Services,65000
40,Remote,Bachelors,12,"Engineer, site reliability",50,United States of America,,0,Other,240000
30,In-person,Bachelors,10,"Developer, desktop or enterprise applications",250,United States of America,Individual contributor,3,Manufacturing,95000
50,Remote,Associates,6,Security professional,250,United States of America,Individual contributor,28,Fintech,130000
30,Remote,Bachelors,4,Data or business analyst,15,United States of America,,0,Other,85000
40,Remote,Bachelors,25,"Developer, full-stack",2500,United States of America,Individual contributor,15,Higher Education,71000
40,Hybrid,Associates,14,"Developer, full-stack",7500,United States of America,Individual contributor,14,Banking or Financial Services,100000
30,Remote,Bachelors,9,"Developer, front-end",50,United States of America,Individual contributor,4,Internet Telecomm or Information Services,102500
40,Remote,Bachelors,12,"Developer, back-end",500 to 999,United States of America,Individual contributor,12,Software Development,155000
50,Remote,Some college,15,"Developer, full-stack",50,United States of America,Individual contributor,13,Transportation or Supply Chain,120000
30,Remote,Bachelors,10,"Developer, full-stack",1,Lebanon,,0,Other,48000
30,Remote,Some college,17,"Developer, full-stack",2500,United States of America,Individual contributor,17,Other,290000
50,Remote,Bachelors,27,Other,1,United States of America,,0,Other,150000
30,Remote,Masters,12,Hardware Engineer,50,United States of America,Individual contributor,8,Computer Systems Design and Services,201000
30,In-person,Bachelors,8,Data scientist or machine learning specialist,10000,United States of America,Individual contributor,8,Banking or Financial Services,210000
40,Hybrid,Some college,11,"Developer, full-stack",10000,United States of America,Individual contributor,11,Banking or Financial Services,187000
30,Hybrid,Bachelors,10,DevOps specialist,50,United States of America,,0,Other,145000
50,Hybrid,Bachelors,33,"Developer, full-stack",250,United States of America,Individual contributor,32,Energy,120000
40,Hybrid,Associates,8,"Developer, full-stack",50,United States of America,Individual contributor,25,Software Development,104000
50,Remote,Masters,37,Developer Advocate,500 to 999,United States of America,Individual contributor,27,Software Development,227000
20,Remote,Professional degree,6,"Developer, mobile",15,Mauritania,Individual contributor,4,Software Development,15000
40,Remote,Secondary school,22,"Developer, back-end",25,Panama,Individual contributor,15,Retail and Consumer Services,78000
20,Hybrid,Bachelors,7,"Developer, desktop or enterprise applications",250,United States of America,,0,Other,62500
30,Remote,Bachelors,14,"Developer, front-end",50,United States of America,Individual contributor,12,Retail and Consumer Services,135000
40,Hybrid,Bachelors,10,"Developer, full-stack",10000,United States of America,,0,Other,160000
40,In-person,Some college,28,"Developer, full-stack",50,United States of America,,0,Other,80000
40,Remote,Bachelors,26,Engineering manager,50,United States of America,,0,Other,225000
20,Remote,Bachelors,5,"Developer, full-stack",250,Ecuador,Individual contributor,1,Software Development,13200
20,In-person,Masters,6,"Developer, back-end",50,United States of America,Individual contributor,2,Healthcare,130000
40,Remote,Bachelors,20,"Developer, back-end",50,Cuba,Individual contributor,20,Software Development,62400
30,Remote,Associates,11,Engineering manager,7500,United States of America,People manager,10,Fintech,260000
50,Remote,Bachelors,16,"Developer, full-stack",500 to 999,United States of America,Individual contributor,27,Other,115000
50,Remote,Bachelors,40,"Developer, back-end",250,United States of America,,0,Other,150000
60,Remote,Bachelors,42,"Developer, back-end",5,United States of America,,0,Other,100000
40,Remote,Bachelors,22,"Developer, full-stack",250,United States of America,Individual contributor,18,Software Development,190000
20,Hybrid,Bachelors,7,"Developer, desktop or enterprise applications",250,United States of America,Individual contributor,2,Software Development,90000
40,Hybrid,Bachelors,30,"Developer, full-stack",2500,United States of America,,0,Other,75000
40,Remote,Masters,22,"Developer, front-end",500 to 999,Ukraine,,0,Other,53000
30,Remote,Professional degree,17,"Developer, full-stack",15,United States of America,Individual contributor,15,Other,95000
40,Remote,Masters,18,Other,50,United States of America,Individual contributor,15,Software Development,95550
20,Remote,Bachelors,6,"Developer, front-end",500 to 999,Ukraine,Individual contributor,3,Software Development,15600
30,Hybrid,Bachelors,16,"Senior Executive (C-Suite, VP, etc.)",5,United States of America,People manager,14,Software Development,336000
50,Remote,Some college,40,"Developer, desktop or enterprise applications",1,United States of America,,0,Other,200000
40,Remote,Bachelors,21,"Developer, full-stack",50,United States of America,Individual contributor,17,Internet Telecomm or Information Services,153000
50,In-person,Bachelors,28,Database administrator,10000,United States of America,Individual contributor,20,Transportation or Supply Chain,135000
20,In-person,Some college,4,"Developer, desktop or enterprise applications",10000,United States of America,Individual contributor,2,Government,17606
30,Remote,Masters,10,Academic researcher,50,United States of America,,0,Other,30000
30,Remote,Bachelors,14,DevOps specialist,10000,United States of America,Individual contributor,10,Insurance,150000
40,Remote,Masters,15,"Developer, back-end",2500,United States of America,Individual contributor,12,Software Development,131000
20,In-person,Bachelors,5,Data or business analyst,5,United States of America,,0,Other,100000
50,Remote,Some college,25,Cloud infrastructure engineer,500 to 999,Costa Rica,Individual contributor,34,Software Development,225000
30,Hybrid,Professional degree,7,Data scientist or machine learning specialist,10000,United States of America,People manager,3,Healthcare,117000
30,Hybrid,Bachelors,8,"Engineer, site reliability",2500,United States of America,Individual contributor,8,Transportation or Supply Chain,127000
40,Hybrid,Some college,14,"Developer, back-end",2500,United States of America,Individual contributor,12,Healthcare,180000
30,Remote,Masters,10,"Developer, back-end",10000,United States of America,Individual contributor,5,Internet Telecomm or Information Services,142426
50,Hybrid,Professional degree,45,"Developer, full-stack",10000,United States of America,Individual contributor,36,Software Development,350000
30,Remote,Bachelors,10,"Developer, full-stack",50,United States of America,,0,Other,149315
20,Hybrid,Bachelors,5,"Developer, full-stack",500 to 999,United States of America,Individual contributor,2,Fintech,75000
50,Remote,Some college,27,"Developer, full-stack",5,United States of America,Individual contributor,26,Government,158000
40,Hybrid,Masters,10,"Developer, back-end",7500,Ukraine,Individual contributor,9,Internet Telecomm or Information Services,66000
30,In-person,Professional degree,10,Scientist,250,United States of America,Individual contributor,8,Government,118000
50,Remote,Masters,17,"Developer, full-stack",1,United States of America,,0,Other,180000
60,Remote,Bachelors,25,"Developer, full-stack",50,United States of America,Individual contributor,25,Government,164000
30,Remote,Masters,14,"Developer, full-stack",50,United States of America,,0,Other,179000
60,Hybrid,Bachelors,29,"Developer, full-stack",250,United States of America,Individual contributor,29,Insurance,172000
30,Remote,Bachelors,9,Research & Development role,15,United States of America,,0,Other,140000
30,Remote,Masters,11,"Developer, back-end",50,Ukraine,Individual contributor,7,Fintech,75000
40,Remote,Bachelors,20,"Developer, full-stack",2500,United States of America,Individual contributor,20,Software Development,100000
50,Remote,Bachelors,25,Other,500 to 999,United States of America,,0,Other,42000
30,Hybrid,Some college,10,"Developer, full-stack",250,United States of America,,0,Other,64000
30,Remote,Bachelors,14,"Developer, back-end",2500,United States of America,Individual contributor,10,Software Development,330000
30,Remote,Bachelors,15,"Developer, game or graphics",7500,United States of America,,0,Other,200000
30,Remote,Masters,11,"Developer, back-end",50,Poland,Individual contributor,7,Internet Telecomm or Information Services,140000
30,Remote,Secondary school,14,"Developer, full-stack",1,United States of America,,0,Other,42000
30,Remote,Bachelors,10,"Developer, full-stack",2500,United States of America,Individual contributor,1,Other,88000
30,Remote,Bachelors,8,Developer Experience,10000,United States of America,,0,Other,180000
50,Hybrid,Masters,28,Other,15,United States of America,Individual contributor,25,Banking or Financial Services,225000
30,Remote,Masters,10,Database administrator,50,Brazil,Individual contributor,7,Computer Systems Design and Services,56000
60,Hybrid,Bachelors,44,"Developer, front-end",50,United States of America,Individual contributor,44,Manufacturing,100000
30,Remote,Professional degree,10,"Developer, back-end",50,United States of America,People manager,14,Software Development,180000
30,Remote,Some college,10,"Developer, QA or test",50,United Kingdom of Great Britain and Northern Ireland,Individual contributor,6,Software Development,180000
30,Hybrid,Bachelors,10,"Developer, full-stack",10000,United States of America,Individual contributor,15,Energy,115000
30,Remote,Masters,6,"Developer, back-end",2500,Russian Federation,Individual contributor,5,Internet Telecomm or Information Services,48000
40,Hybrid,Masters,20,"Developer, full-stack",10000,United States of America,,0,Other,86000
40,Remote,Masters,22,Data engineer,50,United States of America,Individual contributor,12,Healthcare,180000
40,Remote,Bachelors,26,Research & Development role,10000,United States of America,,0,Other,279000
40,Hybrid,Masters,13,Engineering manager,250,United States of America,People manager,18,Software Development,220000
40,Remote,Bachelors,15,"Developer, full-stack",250,United States of America,People manager,11,Healthcare,90000
70,Remote,Bachelors,13,Other,500 to 999,United States of America,,0,Other,144000
40,Remote,Some college,24,"Developer, full-stack",50,United States of America,Individual contributor,8,Other,152000
30,Remote,Masters,15,"Developer, desktop or enterprise applications",250,Ukraine,Individual contributor,8,Software Development,60000
30,Remote,Secondary school,13,"Developer, full-stack",50,United Kingdom of Great Britain and Northern Ireland,Individual contributor,13,Software Development,36000
30,Hybrid,Bachelors,10,"Developer, QA or test",25,United States of America,Individual contributor,10,Manufacturing,97000
40,Remote,Bachelors,22,"Developer, back-end",250,Argentina,Individual contributor,16,Energy,6800
30,Hybrid,Bachelors,15,Data engineer,10000,United States of America,Individual contributor,2,Banking or Financial Services,83500
20,Hybrid,Secondary school,11,"Developer, full-stack",50,United States of America,Individual contributor,4,Government,68000
40,Remote,Some college,30,"Developer, full-stack",1,Guatemala,Individual contributor,25,Software Development,75800
50,Hybrid,Bachelors,33,"Developer, full-stack",250,United States of America,Individual contributor,27,Fintech,162000
30,Remote,Bachelors,18,Developer Advocate,250,United States of America,Individual contributor,6,Internet Telecomm or Information Services,180000
40,Remote,Some college,8,"Developer, back-end",50,United States of America,,0,Other,215000
30,Hybrid,Bachelors,14,"Developer, full-stack",50,Uruguay,Individual contributor,7,Higher Education,40000
40,Hybrid,Bachelors,23,"Developer, front-end",50,United States of America,,0,Other,115000
30,In-person,Some college,20,"Developer, full-stack",250,United States of America,Individual contributor,12,Software Development,180000
30,In-person,Some college,10,"Developer, full-stack",500 to 999,Guatemala,People manager,8,Higher Education,18000
40,Hybrid,Bachelors,16,Other,15,United States of America,,0,Other,130000
30,Hybrid,Secondary school,8,"Developer, full-stack",10000,United States of America,Individual contributor,8,Fintech,124800
60,Remote,Masters,43,Engineering manager,250,United States of America,Individual contributor,35,Higher Education,285000
50,Remote,Bachelors,29,"Developer, front-end",2500,United States of America,Individual contributor,25,Software Development,400000
30,Remote,Bachelors,3,Data engineer,50,United States of America,Individual contributor,4,Other,122500
40,Remote,Some college,26,"Developer, full-stack",1,Turkey,,0,Other,40000
40,Remote,Bachelors,20,"Developer, full-stack",10000,United States of America,Individual contributor,15,Software Development,154640
30,In-person,Bachelors,11,"Developer, embedded applications or devices",7500,United States of America,Individual contributor,2,Energy,96000
40,Remote,Masters,20,"Developer, embedded applications or devices",10000,Ukraine,,0,Other,54000
30,Hybrid,Masters,10,DevOps specialist,50,United States of America,,0,Other,110000
50,Hybrid,Bachelors,25,"Developer, full-stack",250,United States of America,Individual contributor,22,Banking or Financial Services,135000
40,Remote,Bachelors,22,"Developer, back-end",250,United States of America,,0,Other,275000
40,Remote,Masters,19,"Developer, back-end",15,Poland,,0,Other,110000
40,Remote,Some college,15,Security professional,50,United States of America,Individual contributor,21,Internet Telecomm or Information Services,120000
30,Remote,Some college,10,"Developer, full-stack",250,United States of America,Individual contributor,7,Other,165000
60,In-person,Masters,44,Research & Development role,7500,United States of America,,0,Other,300000
40,Remote,Bachelors,20,"Developer, full-stack",250,United States of America,Individual contributor,15,Other,216000
40,Remote,Bachelors,20,"Developer, back-end",250,Russian Federation,People manager,11,Software Development,65000
40,Remote,Bachelors,6,Other,50,United States of America,,0,Other,170000
40,Hybrid,Bachelors,30,"Developer, game or graphics",2500,United States of America,,0,Other,210000
60,Remote,Bachelors,20,"Developer, desktop or enterprise applications",1,United States of America,,0,Other,400000
40,Remote,Masters,25,Engineering manager,15,United States of America,,0,Other,200000
30,Remote,Bachelors,9,"Developer, full-stack",2500,United States of America,Individual contributor,9,Fintech,206000
30,Remote,Bachelors,17,Blockchain,250,Uzbekistan,Individual contributor,13,Computer Systems Design and Services,120000
30,Hybrid,Masters,8,"Developer, full-stack",50,United States of America,Individual contributor,7,Retail and Consumer Services,115000
30,Remote,Masters,10,"Developer, full-stack",1,Netherlands,,0,Other,120000
40,In-person,Associates,14,"Developer, full-stack",250,United States of America,Individual contributor,11,Manufacturing,85000
40,Hybrid,Masters,20,"Developer, back-end",500 to 999,United States of America,,0,Other,167890
40,Remote,Bachelors,8,"Developer, back-end",250,United States of America,,0,Other,210000
30,Remote,Bachelors,15,"Developer, full-stack",10000,United States of America,Individual contributor,10,Software Development,140000
40,Remote,Some college,18,"Developer, back-end",10000,United States of America,Individual contributor,17,Internet Telecomm or Information Services,125000
30,Hybrid,Bachelors,8,"Developer, full-stack",250,United States of America,Individual contributor,7,Internet Telecomm or Information Services,125000
40,Remote,Bachelors,24,Research & Development role,10000,United States of America,Individual contributor,20,Other,145600
30,Remote,Bachelors,5,"Developer, front-end",1,Nigeria,,0,Other,5000
60,Hybrid,Masters,45,"Developer, full-stack",250,United States of America,,0,Other,180000
30,Remote,Some college,11,"Developer, full-stack",1,United States of America,,0,Other,11000
30,Hybrid,Masters,9,Educator,10000,United States of America,Individual contributor,10,Higher Education,20000
30,Remote,Associates,6,"Developer, full-stack",250,United States of America,Individual contributor,2,Banking or Financial Services,52000
30,In-person,Bachelors,20,Other,15,United States of America,Individual contributor,10,Manufacturing,72000
40,Remote,Some college,25,"Developer, full-stack",1,United States of America,,0,Other,240000
30,Hybrid,Bachelors,10,"Developer, back-end",10000,United States of America,Individual contributor,5,Transportation or Supply Chain,75420
30,Hybrid,Some college,23,"Developer, full-stack",500 to 999,United States of America,,0,Other,150000
40,Remote,Some college,19,"Developer, full-stack",250,United States of America,Individual contributor,14,Software Development,210000
60,Remote,Bachelors,40,"Developer, front-end",250,United States of America,,0,Other,170000
40,Remote,Some college,20,Data or business analyst,10000,United States of America,Individual contributor,23,Healthcare,180000
30,Remote,Masters,16,Other,50,United States of America,Individual contributor,11,Software Development,100000
30,Hybrid,Bachelors,13,"Developer, back-end",2500,United States of America,Individual contributor,8,Fintech,192000
40,Remote,Bachelors,12,"Developer, full-stack",10000,United States of America,,0,Other,165000
40,Hybrid,Bachelors,25,"Developer, full-stack",500 to 999,United States of America,Individual contributor,24,Healthcare,101000
40,Remote,Masters,22,"Developer, mobile",250,United States of America,Individual contributor,17,Software Development,225000
40,Remote,Bachelors,30,"Developer, full-stack",10000,United States of America,Individual contributor,16,Energy,110000
40,Remote,Associates,28,Research & Development role,50,United States of America,,0,Other,106000
30,Hybrid,Bachelors,8,"Developer, full-stack",500 to 999,United States of America,,0,Other,100000
30,Hybrid,Masters,8,"Developer, full-stack",10000,United States of America,Individual contributor,3,Banking or Financial Services,151000
30,Remote,Bachelors,5,"Developer, full-stack",5,Brazil,,0,Other,36000
40,Hybrid,Bachelors,17,"Developer, full-stack",7500,United States of America,,0,Other,125000
30,In-person,Bachelors,12,"Developer, full-stack",2500,United States of America,Individual contributor,5,Media & Advertising Services,100000
60,In-person,Some college,10,Project manager,50,United States of America,,0,Other,120000
30,Remote,Bachelors,6,"Developer, back-end",10000,United States of America,Individual contributor,5,Software Development,80000
30,Remote,Masters,8,"Engineer, site reliability",2500,United States of America,Individual contributor,8,Higher Education,80000
60,Remote,Bachelors,41,"Developer, back-end",250,United States of America,Individual contributor,39,Media & Advertising Services,140000
50,Remote,Some college,32,"Developer, full-stack",10000,United States of America,Individual contributor,29,Software Development,150000
40,Remote,Masters,15,"Developer, back-end",250,United States of America,Individual contributor,13,Other,172550
40,Remote,Bachelors,9,Other,15,United States of America,,0,Other,20000
40,Remote,Bachelors,16,"Developer, full-stack",50,United States of America,,0,Other,225000
40,Remote,Some college,32,System administrator,250,United States of America,Individual contributor,32,Computer Systems Design and Services,155000
40,Remote,Bachelors,17,"Developer, full-stack",250,Brazil,Individual contributor,13,Manufacturing,124800
50,Remote,Bachelors,33,Engineering manager,15,United States of America,People manager,32,Computer Systems Design and Services,215000
40,Remote,Masters,15,"Developer, full-stack",5,United States of America,People manager,20,Media & Advertising Services,200000
40,In-person,Bachelors,7,Engineering manager,500 to 999,United States of America,People manager,19,Retail and Consumer Services,75000
30,Remote,Some college,10,"Developer, full-stack",5,United States of America,Individual contributor,6,Software Development,82000
